"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"10943","2016-00004001",2016-01-20 22:18:00,"SHATTUCK AVE / ASHBY AVE","T",NA,1,"BM3TWS","Black","M","3","Traffic","Warning","Search",37.8552946,-122.2665022,"Not Arrested","No",22,"4"
"10944","2016-00004004",2016-01-20 22:30:00,"SIXTY-SECOND ST / RACINE ST","T","TOW, P",1,"BM4TAS","Black","M","4","Traffic","Arrest","Search",37.8715926,-122.272747,"Arrested","No",22,"4"
"10945","2016-00004007",2016-01-20 22:52:00,"MARIN AVE / TULARE AVE","T",NA,1,"BM2TCN","Black","M","2","Traffic","Citation","No Search",37.8894223,-122.2818408,"Not Arrested","No",22,"4"
"10946","2016-00004013",2016-01-20 23:48:00,"CEDAR ST / BONITA AVE","T",NA,1,"WM2TCN","White","M","2","Traffic","Citation","No Search",37.8779857,-122.2725642,"Not Arrested","No",23,"4"
"10947","2016-00004014",2016-01-20 23:57:00,"37.8609962420001~-122.256143699","1194",NA,1,"WF4ICN","White","F","4","Investigation","Citation","No Search",37.8609962420001,-122.256143699,"Not Arrested","No",23,"4"
"10948","2016-00004015",2016-01-21 00:00:00,"SHATTUCK AVE / CENTER ST","T",NA,1,"WF3TCN","White","F","3","Traffic","Citation","No Search",37.8703057,-122.2680389,"Not Arrested","No",0,"5"
"10949","2016-00004024",2016-01-21 01:48:00,"HASTE ST / FULTON ST","T",NA,1,"BM3TWN","Black","M","3","Traffic","Warning","No Search",37.8651475,-122.265459,"Not Arrested","No",1,"5"
"10950","2016-00004032",2016-01-21 02:56:00,"JEFFERSON / ALLSTON WAY","T",NA,1,"AM4TWN","Asian","M","4","Traffic","Warning","No Search",37.86807,-122.2783559,"Not Arrested","No",2,"5"
"10951","2016-00004037",2016-01-21 04:06:00,"6600 BLOCK TREMONT AVE","1194",NA,1,"HM4IWN","Hispanic","M","4","Investigation","Warning","No Search",37.85119,-122.267515,"Not Arrested","No",4,"5"
"10952","2016-00004043",2016-01-21 06:43:00,"2300 BLOCK TELEGRAPH AVE","1194","M",1,"HM2IWN","Hispanic","M","2","Investigation","Warning","No Search",37.8689291,-122.2591921,"Not Arrested","No",6,"5"
"10953","2016-00004045",2016-01-21 07:21:00,"2300 BLOCK TELEGRAPH AVE","1194","FC",1,"WM4IWN","White","M","4","Investigation","Warning","No Search",37.8689291,-122.2591921,"Not Arrested","No",7,"5"
"10954","2016-00004075",2016-01-21 10:12:00,"64TH ST / HOLLIS ST","T",NA,1,"WF4TCN","White","F","4","Traffic","Citation","No Search",37.8448053,-122.2908543,"Not Arrested","No",10,"5"
"10955","2016-00004081",2016-01-21 10:26:00,"SEVENTH ST / ANTHONY ST","T",NA,1,"HM3TCN","Hispanic","M","3","Traffic","Citation","No Search",37.8522266,-122.2914685,"Not Arrested","No",10,"5"
"10956","2016-00004083",2016-01-21 10:43:00,"SEVENTH ST / FOLGER AVE","T",NA,1,"WM4TCN","White","M","4","Traffic","Citation","No Search",37.8500482,-122.2907992,"Not Arrested","No",10,"5"
"10957","2016-00004085",2016-01-21 10:56:00,"SEVENTH ST / MURRAY ST","T",NA,1,"BM3TCN","Black","M","3","Traffic","Citation","No Search",37.8508096,-122.2910473,"Not Arrested","No",10,"5"
"10958","2016-00004104",2016-01-21 12:46:00,"ALLSTON WAY / M L KING JR WAY","T",NA,1,"HM2TWN","Hispanic","M","2","Traffic","Warning","No Search",37.8687926,-122.2726916,"Not Arrested","No",12,"5"
"10959","2016-00004113",2016-01-21 13:40:00,"37.8693028530001~-122.272234021","1194",NA,1,"WM4RCN","White","M","4","Reasonable Suscipcion","Citation","No Search",37.8693028530001,-122.272234021,"Not Arrested","No",13,"5"
"10960","2016-00004136",2016-01-21 16:27:00,"SACRAMENTO ST / DELAWARE ST","1194",NA,1,"BM1KWS","Black","M","1","Probation/Parole","Warning","Search",37.873058,-122.2823435,"Not Arrested","No",16,"5"
"10961","2016-00004136",2016-01-21 16:27:00,"SACRAMENTO ST / DELAWARE ST","1194",NA,2,"WF1RWS","White","F","1","Reasonable Suscipcion","Warning","Search",37.873058,-122.2823435,"Not Arrested","No",16,"5"
"10962","2016-00004161",2016-01-21 20:27:00,"ELLSWORTH ST / BLAKE ST","1196","MH, M",1,"OM4TCS","Other","M","4","Traffic","Citation","Search",37.8636448,-122.2628071,"Not Arrested","Yes",20,"5"
"10963","2016-00004165",2016-01-21 20:52:00,"SACRAMENTO ST / JULIA ST","T","P",1,"BM2TAS","Black","M","2","Traffic","Arrest","Search",37.8541885,-122.2791483,"Arrested","No",20,"5"
"10964","2016-00004167",2016-01-21 21:06:00,"MILVIA ST / UNIVERSITY AVE","T",NA,1,"AF2TWN","Asian","F","2","Traffic","Warning","No Search",37.871918,-122.2706021,"Not Arrested","No",21,"5"
"10965","2016-00004178",2016-01-21 21:49:00,"M L KING JR WAY / HEARST AVE","T",NA,1,"AM4TWN","Asian","M","4","Traffic","Warning","No Search",37.873328,-122.273212,"Not Arrested","No",21,"5"
"10966","2016-00004182",2016-01-21 22:10:00,"BANCROFT WAY / BOWDITCH ST","T",NA,1,"WF4TWN","White","F","4","Traffic","Warning","No Search",37.8690034,-122.2568986,"Not Arrested","No",22,"5"
"10967","2016-00004186",2016-01-21 22:40:00,"ARLINGTON AVE / MENDOCINO AVE","T",NA,1,"WF4TWN","White","F","4","Traffic","Warning","No Search",37.8931671,-122.2747822,"Not Arrested","No",22,"5"
"10968","2016-00004189",2016-01-21 22:43:00,"37.895355453~-122.273583691","1194",NA,1,"OM1ICS","Other","M","1","Investigation","Citation","Search",37.895355453,-122.273583691,"Not Arrested","No",22,"5"
"10969","2016-00004189",2016-01-21 22:43:00,"37.895355453~-122.273583691","1194",NA,2,"WM1ICS","White","M","1","Investigation","Citation","Search",37.895355453,-122.273583691,"Not Arrested","No",22,"5"
