"";"id";"Total.population";"Hispanic.or.Latino";"Total.population..not.Hispanic.or.Latino";"One.race.total";"White";"Black.or.African.American";"American.Indian.and.Alaska.Native";"Asian";"Native.Hawaiian.and.Other.Pacific.Islander";"Some.Other.Race";"Two.or.More.Races"
"272";"4415.21";5869;351;5518;5475;1215;191;15;3905;31;118;394
"273";"4415.22";4980;692;4288;4672;1144;250;13;2880;32;353;308
"274";"4415.23";4077;253;3824;3852;578;103;13;3045;22;91;225
"275";"4415.24";4010;159;3851;3853;479;98;11;3183;6;76;157
"276";"4416.01";4561;1097;3464;4221;2070;206;19;1449;23;454;340
"277";"4416.02";6802;1680;5122;6300;2440;403;39;2476;73;869;502
"278";"4417";7436;1708;5728;6880;2749;418;86;2856;73;698;556
"279";"4418";6786;1072;5714;6397;2802;258;32;2839;35;431;389
"280";"4419.21";3663;989;2674;3431;1410;143;22;1390;9;457;232
"281";"4419.23";5605;953;4652;5260;1362;239;44;3028;35;552;345
"282";"4419.24";7301;1003;6298;6871;2084;240;41;4083;24;399;430
"283";"4419.25";6159;511;5648;5726;1562;276;26;3632;43;187;433
"284";"4419.26";4080;1312;2768;3748;1243;202;44;1543;11;705;332
"285";"4419.27";4103;484;3619;3845;982;233;7;2336;44;243;258
"286";"4420";3212;115;3097;3077;786;21;1;2238;5;26;135
"287";"4421";5166;141;5025;5038;1160;35;2;3811;3;27;128
"288";"4422";6875;418;6457;6662;2049;98;16;4390;4;105;213
"289";"4423.01";4388;868;3520;4157;1836;167;19;1748;37;350;231
"290";"4423.02";4788;1016;3772;4436;1586;397;21;1898;51;483;352
"291";"4424";6253;1798;4455;5903;2781;214;27;2053;51;777;350
"292";"4425";7371;1747;5624;6898;2710;247;51;2917;66;907;473
"293";"4426.01";3844;722;3122;3631;1961;67;15;1221;10;357;213
"294";"4426.02";5074;1226;3848;4651;2453;245;43;1219;38;653;423
"295";"4427";2873;484;2389;2692;1776;48;13;645;9;201;181
"296";"4428";2816;670;2146;2617;1290;82;19;939;19;268;199
"297";"4429";7194;1376;5818;6664;2957;241;36;2765;62;603;530
"298";"4430.01";2917;1025;1892;2766;1203;94;19;904;8;538;151
"299";"4430.02";5918;1366;4552;5573;2359;171;57;2416;34;536;345
"300";"4431.02";4611;195;4416;4454;1083;28;8;3275;2;58;157
"301";"4431.03";4029;97;3932;3919;574;32;1;3293;3;16;110
"302";"4431.04";5558;293;5265;5343;1316;61;14;3877;6;69;215
"303";"4431.05";4456;124;4332;4322;833;19;4;3421;4;41;134
"304";"4432";3704;113;3591;3520;923;29;2;2527;14;25;184
"305";"4433.01";4074;275;3799;3907;1371;67;2;2380;16;71;167
"306";"4433.21";3142;240;2902;3027;588;99;14;2234;12;80;115
"307";"4433.22";2985;242;2743;2845;932;47;19;1742;11;94;140
"308";"4441";7280;2100;5180;6776;3835;254;20;1602;106;959;504
"309";"4442";6499;2320;4179;6020;2877;259;65;1621;120;1078;479
"310";"4443.01";3855;1304;2551;3579;1660;187;13;951;68;700;276
"311";"4443.02";4354;2104;2250;4062;1566;207;58;940;87;1204;292
"312";"4444";5114;2709;2405;4819;2114;216;27;983;69;1410;295
"313";"4445";6696;2672;4024;6274;2089;380;44;2024;84;1653;422
"314";"4446.01";4761;1250;3511;4480;2230;202;39;1400;65;544;281
"315";"4446.02";4014;535;3479;3764;1195;297;13;2050;22;187;250
"316";"4501.01";4349;441;3908;4077;1876;293;15;1696;15;182;272
"317";"4501.02";9434;2024;7410;9073;3527;2758;108;1805;149;726;361
"318";"4502";4067;612;3455;3800;2505;200;17;798;29;251;267
"319";"4503";4551;682;3869;4236;2978;172;16;786;30;254;315
"320";"4504";5968;1257;4711;5520;3781;146;49;1002;22;520;448
"321";"4505.01";3129;373;2756;2961;2192;96;13;455;14;191;168
"322";"4505.02";4185;417;3768;3920;2803;132;12;886;14;73;265
"323";"4506.01";3379;234;3145;3231;2338;59;10;760;6;58;148
"324";"4506.02";8722;785;7937;8290;5791;154;29;2143;35;138;432
"325";"4506.03";4657;519;4138;4408;3322;60;19;882;12;113;249
"326";"4506.04";4796;509;4287;4587;3828;49;16;571;6;117;209
"327";"4506.05";3685;266;3419;3546;2989;40;7;458;7;45;139
"328";"4506.06";5733;359;5374;5498;4035;67;18;1268;11;99;235
"329";"4506.07";5251;1027;4224;4985;3387;111;23;1010;11;443;266
"330";"4507.01";8075;536;7539;7711;5845;98;20;1657;3;88;364
"331";"4507.41";4768;860;3908;4536;3448;93;30;596;4;365;232
"332";"4507.42";4576;476;4100;4349;3288;68;14;867;11;101;227
"333";"4507.43";4734;723;4011;4468;1888;179;22;2169;17;193;266
"334";"4507.44";4831;435;4396;4555;3203;88;13;1143;8;100;276
"335";"4507.45";5956;424;5532;5684;2887;99;2;2566;1;129;272
"336";"4507.46";3152;285;2867;3024;2512;37;15;400;9;51;128
"337";"4507.50";3618;417;3201;3327;1663;299;9;1206;7;143;291
"338";"4507.51";2115;143;1972;2020;757;78;0;1135;4;46;95
"339";"4507.52";5262;379;4883;4970;2012;191;10;2656;7;94;292
"340";"4511.01";7081;1097;5984;6703;5102;201;33;956;38;373;378
"341";"4511.02";4011;364;3647;3850;3323;41;13;371;3;99;161
"342";"4512.01";6595;1189;5406;6206;4805;183;74;682;22;440;389
"343";"4512.02";3634;748;2886;3434;2756;47;27;318;9;277;200
"344";"4513";6560;1378;5182;6167;4982;124;33;406;19;603;393
"345";"4514.01";5850;1299;4551;5540;4221;163;21;578;22;535;310
"346";"4514.03";2220;581;1639;2089;1533;46;11;176;9;314;131
"347";"4514.04";6610;3407;3203;6256;3535;120;63;445;21;2072;354
"348";"4515.01";4668;785;3883;4441;3578;114;6;459;4;280;227
"349";"4515.03";5660;1228;4432;5381;4395;109;47;413;12;405;279
"350";"4515.04";1509;257;1252;1411;1166;36;5;132;5;67;98
"351";"4515.05";3337;348;2989;3176;2880;22;12;186;8;68;161
"352";"4515.06";3138;1061;2077;2915;2125;137;17;203;18;415;223
"353";"4516.01";4617;636;3981;4408;3865;68;16;288;9;162;209
"354";"4516.02";6224;970;5254;5976;5053;114;33;342;26;408;248
"355";"4517.01";3102;606;2496;2885;2393;41;18;188;23;222;217
"356";"4517.03";3859;544;3315;3649;2999;67;13;413;18;139;210
"357";"4517.04";4449;776;3673;4250;3582;78;38;300;10;242;199
"358";"9819";38;4;34;35;26;4;0;4;0;1;3
"359";"9820";71;11;60;66;49;3;3;9;0;2;5
"360";"9832";540;58;482;508;318;81;4;96;1;8;32
"361";"9900";0;0;0;0;0;0;0;0;0;0;0
