"","Col1","Total.population","Hispanic.or.Latino","Total.population..not.Hispanic.or.Latino","One.race.total","White","Black.or.African.American","American.Indian.and.Alaska.Native","Asian","Native.Hawaiian.and.Other.Pacific.Islander","Some.Other.Race","Two.or.More.Races"
"1","BLOCKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Block 3023, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"187","Block 3024, Block Group 3, Census Tract 4003, Alameda County, California",329,17,312,316,27,266,2,10,0,11,13
"188","Block 3025, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"189","Block 3026, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"190","Block 3027, Block Group 3, Census Tract 4003, Alameda County, California",57,19,38,42,20,13,0,6,0,3,15
"191","Block 3028, Block Group 3, Census Tract 4003, Alameda County, California",17,5,12,17,14,0,0,3,0,0,0
"192","Block 3029, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"193","Block 3030, Block Group 3, Census Tract 4003, Alameda County, California",12,0,12,12,12,0,0,0,0,0,0
"194","Block 4000, Block Group 4, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"195","Block 4001, Block Group 4, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"196","Block 4002, Block Group 4, Census Tract 4003, Alameda County, California",55,4,51,49,43,2,0,4,0,0,6
"197","Block 4003, Block Group 4, Census Tract 4003, Alameda County, California",89,8,81,81,74,1,0,4,0,2,8
"198","Block 4004, Block Group 4, Census Tract 4003, Alameda County, California",97,9,88,92,84,1,0,5,0,2,5
"199","Block 4005, Block Group 4, Census Tract 4003, Alameda County, California",83,6,77,72,61,7,0,4,0,0,11
"200","Block 4006, Block Group 4, Census Tract 4003, Alameda County, California",109,7,102,99,87,5,0,6,0,1,10
"201","Block 4007, Block Group 4, Census Tract 4003, Alameda County, California",104,13,91,92,68,5,0,12,0,7,12
"202","Block 4008, Block Group 4, Census Tract 4003, Alameda County, California",109,6,103,101,79,5,0,16,0,1,8
"203","Block 4009, Block Group 4, Census Tract 4003, Alameda County, California",94,5,89,86,76,4,1,4,0,1,8
"204","Block 4010, Block Group 4, Census Tract 4003, Alameda County, California",87,3,84,87,61,14,0,8,1,3,0
"205","Block 4011, Block Group 4, Census Tract 4003, Alameda County, California",138,4,134,132,108,3,0,20,0,1,6
"206","Block 4012, Block Group 4, Census Tract 4003, Alameda County, California",75,3,72,72,67,0,0,4,0,1,3
"207","Block 4013, Block Group 4, Census Tract 4003, Alameda County, California",91,5,86,86,69,3,0,11,0,3,5
"208","Block 4014, Block Group 4, Census Tract 4003, Alameda County, California",98,7,91,94,80,5,0,6,1,2,4
"209","Block 4015, Block Group 4, Census Tract 4003, Alameda County, California",97,6,91,96,82,2,0,8,0,4,1
"210","Block 4016, Block Group 4, Census Tract 4003, Alameda County, California",72,5,67,66,56,2,0,6,0,2,6
"211","Block 1000, Block Group 1, Census Tract 4004, Alameda County, California",68,3,65,65,63,0,0,2,0,0,3
"212","Block 1001, Block Group 1, Census Tract 4004, Alameda County, California",133,15,118,128,115,2,1,9,0,1,5
"213","Block 1002, Block Group 1, Census Tract 4004, Alameda County, California",125,7,118,118,112,0,0,4,0,2,7
"214","Block 1003, Block Group 1, Census Tract 4004, Alameda County, California",132,21,111,126,110,0,2,5,1,8,6
"215","Block 1004, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"216","Block 1005, Block Group 1, Census Tract 4004, Alameda County, California",124,8,116,111,87,3,1,13,0,7,13
"217","Block 1006, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"218","Block 1007, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"219","Block 1008, Block Group 1, Census Tract 4004, Alameda County, California",96,8,88,95,81,9,0,5,0,0,1
"220","Block 1009, Block Group 1, Census Tract 4004, Alameda County, California",120,5,115,116,100,4,1,9,0,2,4
"221","Block 1010, Block Group 1, Census Tract 4004, Alameda County, California",138,16,122,127,95,4,1,19,0,8,11
"222","Block 1011, Block Group 1, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"223","Block 1012, Block Group 1, Census Tract 4004, Alameda County, California",150,11,139,141,117,5,0,15,0,4,9
"224","Block 1013, Block Group 1, Census Tract 4004, Alameda County, California",116,6,110,106,81,9,0,16,0,0,10
"225","Block 1014, Block Group 1, Census Tract 4004, Alameda County, California",97,7,90,93,83,2,0,7,0,1,4
"226","Block 1015, Block Group 1, Census Tract 4004, Alameda County, California",122,4,118,119,87,21,0,8,0,3,3
"227","Block 2000, Block Group 2, Census Tract 4004, Alameda County, California",132,10,122,123,84,28,0,6,0,5,9
"228","Block 2001, Block Group 2, Census Tract 4004, Alameda County, California",2,0,2,2,2,0,0,0,0,0,0
"229","Block 2002, Block Group 2, Census Tract 4004, Alameda County, California",62,1,61,50,31,13,0,6,0,0,12
"230","Block 2003, Block Group 2, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"231","Block 2004, Block Group 2, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"232","Block 2005, Block Group 2, Census Tract 4004, Alameda County, California",45,13,32,39,33,3,0,3,0,0,6
"233","Block 2006, Block Group 2, Census Tract 4004, Alameda County, California",46,2,44,46,24,15,1,6,0,0,0
"234","Block 2007, Block Group 2, Census Tract 4004, Alameda County, California",77,5,72,74,60,10,0,3,0,1,3
"235","Block 2008, Block Group 2, Census Tract 4004, Alameda County, California",49,4,45,46,28,13,0,5,0,0,3
"236","Block 2009, Block Group 2, Census Tract 4004, Alameda County, California",77,10,67,69,45,22,0,0,0,2,8
"237","Block 2010, Block Group 2, Census Tract 4004, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"238","Block 2011, Block Group 2, Census Tract 4004, Alameda County, California",2,0,2,2,2,0,0,0,0,0,0
"239","Block 2012, Block Group 2, Census Tract 4004, Alameda County, California",120,15,105,117,60,47,0,10,0,0,3
"240","Block 2013, Block Group 2, Census Tract 4004, Alameda County, California",52,4,48,49,28,18,1,1,0,1,3
